,ID,bed,bath,acre_lot,state,zip_code,house_size,prev_sold_date,price,price_per_sqfoot,month
7958,490395,4.0,4.0,0.12,New Jersey,7009,1900.0,2021-09-29 00:00:00.000000,724999.0,382.0,2021-09
7959,490497,7.0,3.0,0.06,New Jersey,7522,2500.0,2021-04-07 00:00:00.000000,439000.0,176.0,2021-04
7960,490506,2.0,2.0,0.11,New Jersey,7506,1460.0,2021-08-02 00:00:00.000000,399900.0,274.0,2021-08
7961,490507,3.0,2.0,0.06,New York,10461,1900.0,2021-12-17 00:00:00.000000,625000.0,329.0,2021-12
7962,490513,4.0,2.0,0.05,New York,11203,1905.0,2022-01-27 00:00:00.000000,799000.0,419.0,2022-01
7963,490613,5.0,2.0,0.08,New Jersey,7111,1312.0,2021-10-22 00:00:00.000000,320000.0,244.0,2021-10
7964,491310,3.0,1.0,0.07,New York,10465,960.0,2022-03-09 00:00:00.000000,749000.0,780.0,2022-03
7965,491367,6.0,2.0,0.06,New York,10461,1648.0,2022-01-24 00:00:00.000000,825000.0,501.0,2022-01
7966,491662,4.0,4.0,0.13,New Jersey,7014,2200.0,2021-03-09 00:00:00.000000,899000.0,409.0,2021-03
7967,491829,4.0,2.0,0.08,New York,10302,1600.0,2021-05-18 00:00:00.000000,639999.0,400.0,2021-05
7968,492020,3.0,3.0,0.04,New York,10458,1296.0,2022-01-07 00:00:00.000000,599000.0,462.0,2022-01
7969,492094,3.0,2.0,0.03,New York,11102,1584.0,2021-10-05 00:00:00.000000,1499988.0,947.0,2021-10
7970,492141,4.0,3.0,0.09,New York,10465,2600.0,2021-11-16 00:00:00.000000,739000.0,284.0,2021-11
