,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price,month
615889,for_sale,3.0,2.0,0.28,Piscataway,New Jersey,8854.0,1170.0,2021-09-24,389000.0,2021-09
615892,for_sale,2.0,2.0,0.03,Perth Amboy,New Jersey,8861.0,1291.0,2021-06-21,260000.0,2021-06
615894,for_sale,3.0,3.0,0.07,Carteret,New Jersey,7008.0,2004.0,2021-12-09,435000.0,2021-12
615902,for_sale,2.0,2.0,0.14,Sayreville,New Jersey,8879.0,1364.0,2021-11-16,325000.0,2021-11
615908,for_sale,3.0,2.0,0.33,South Brunswick,New Jersey,8824.0,1376.0,2021-12-14,385000.0,2021-12
615942,for_sale,4.0,2.0,0.14,Irvington,New Jersey,7111.0,1922.0,2021-10-05,289900.0,2021-10
615951,for_sale,3.0,2.0,0.17,Avenel,New Jersey,7001.0,7501.0,2021-11-01,340000.0,2021-11
615956,for_sale,2.0,3.0,0.0,Edison,New Jersey,8820.0,1604.0,2022-01-12,439000.0,2022-01
615963,for_sale,4.0,3.0,0.34,North Brunswick,New Jersey,8902.0,2644.0,2022-03-11,475000.0,2022-03
615964,for_sale,5.0,3.0,0.26,Plainfield,New Jersey,7060.0,2100.0,2022-01-13,489000.0,2022-01
615990,for_sale,3.0,1.0,0.13,Carteret,New Jersey,7008.0,1346.0,2021-07-30,379000.0,2021-07
615991,for_sale,3.0,2.0,0.15,New Brunswick,New Jersey,8901.0,1152.0,2021-12-22,375000.0,2021-12
615993,for_sale,4.0,2.0,0.08,New Brunswick,New Jersey,8901.0,1400.0,2022-02-28,389900.0,2022-02
615999,for_sale,3.0,3.0,0.23,Piscataway,New Jersey,8854.0,1982.0,2021-04-13,460000.0,2021-04
616000,for_sale,4.0,3.0,0.2,Roselle,New Jersey,7203.0,1760.0,2021-08-19,448800.0,2021-08
616002,for_sale,3.0,3.0,0.4,East Brunswick,New Jersey,8816.0,2379.0,2021-11-08,494900.0,2021-11
616003,for_sale,3.0,3.0,0.06,Perth Amboy,New Jersey,8861.0,1749.0,2021-10-04,398888.0,2021-10
616009,for_sale,3.0,2.0,0.23,Piscataway,New Jersey,8854.0,1216.0,2021-03-11,379900.0,2021-03
616010,for_sale,4.0,2.0,0.45,Green Brook,New Jersey,8812.0,2008.0,2021-07-14,469999.0,2021-07
616011,for_sale,5.0,2.0,0.38,East Brunswick,New Jersey,8816.0,1904.0,2021-12-29,499900.0,2021-12
616018,for_sale,2.0,2.0,1.5,Perth Amboy,New Jersey,8861.0,1289.0,2021-10-18,192000.0,2021-10
616021,for_sale,3.0,1.0,0.11,East Brunswick,New Jersey,8816.0,2040.0,2022-01-24,340000.0,2022-01
616027,for_sale,2.0,1.0,0.09,Fords,New Jersey,8863.0,792.0,2021-10-01,275000.0,2021-10
616030,for_sale,1.0,1.0,0.01,Edison,New Jersey,8837.0,990.0,2021-12-16,225000.0,2021-12
616031,for_sale,2.0,1.0,0.12,Piscataway,New Jersey,8854.0,660.0,2022-01-25,285000.0,2022-01
616034,for_sale,3.0,2.0,0.41,East Brunswick,New Jersey,8816.0,1778.0,2022-01-14,369900.0,2022-01
616039,for_sale,5.0,3.0,0.04,Perth Amboy,New Jersey,8861.0,1872.0,2022-01-25,379900.0,2022-01
616043,for_sale,2.0,3.0,0.0,Edison,New Jersey,8820.0,1604.0,2021-12-10,430000.0,2021-12
616054,for_sale,3.0,2.0,0.12,Iselin,New Jersey,8830.0,997.0,2022-02-04,424900.0,2022-02
616056,for_sale,3.0,2.0,0.16,Old Bridge,New Jersey,8857.0,1572.0,2021-12-20,495000.0,2021-12
616124,for_sale,6.0,5.0,0.06,Newark,New Jersey,7112.0,2508.0,2021-04-30,635000.0,2021-04
616196,for_sale,3.0,1.0,0.51,Piscataway,New Jersey,8854.0,1008.0,2021-11-16,425000.0,2021-11
616237,for_sale,2.0,1.0,0.21,Netcong,New Jersey,7857.0,1092.0,2021-11-10,299900.0,2021-11
616296,for_sale,3.0,4.0,0.11,Metuchen,New Jersey,8840.0,1488.0,2021-06-09,599000.0,2021-06
616303,for_sale,4.0,4.0,0.11,Carteret,New Jersey,7008.0,2825.0,2021-12-29,719900.0,2021-12
616345,for_sale,6.0,6.0,0.58,Summit,New Jersey,7901.0,6200.0,2021-05-03,2400000.0,2021-05
616349,for_sale,5.0,5.0,0.14,Livingston,New Jersey,7039.0,3800.0,2021-09-16,1350000.0,2021-09
616422,for_sale,4.0,3.0,3.25,Bernards Twp,New Jersey,7931.0,2786.0,2021-07-20,845000.0,2021-07
616453,for_sale,3.0,2.0,0.14,Avenel,New Jersey,7001.0,1542.0,2022-01-27,305100.0,2022-01
616534,for_sale,4.0,3.0,3.08,Harding Township,New Jersey,7960.0,3175.0,2021-05-13,1195000.0,2021-05
